FBDH01000020.1	Campylobacter_coli_n_a_GCA_001488955.1
FBLT01000022.1	Campylobacter_coli_n_a_GCA_001489055.1
FBCG01000027.1	Campylobacter_coli_n_a_GCA_001489215.1
FBBY01000018.1	Campylobacter_coli_n_a_GCA_001489255.1
FBPC01000026.1	Campylobacter_coli_n_a_GCA_001489415.1
FBKQ01000009.1	Campylobacter_coli_n_a_GCA_001489555.1
FBKA01000010.1	Campylobacter_coli_n_a_GCA_001489575.1
FBFG01000008.1	Campylobacter_coli_n_a_GCA_001489715.1
FBMZ01000026.1	Campylobacter_coli_n_a_GCA_001489835.1
FBIH01000026.1	Campylobacter_coli_n_a_GCA_001489915.1
FBHI01000009.1	Campylobacter_coli_n_a_GCA_001490195.1
FBBC01000005.1	Campylobacter_coli_n_a_GCA_001490235.1
FAXW01000019.1	Campylobacter_coli_n_a_GCA_001490555.1
FAXW01000032.1	Campylobacter_coli_n_a_GCA_001490555.1
FBLH01000040.1	Campylobacter_coli_n_a_GCA_001490595.1
FBPP01000033.1	Campylobacter_coli_n_a_GCA_001490995.1
FBOB01000011.1	Campylobacter_coli_n_a_GCA_001491055.1
FBLG01000053.1	Campylobacter_coli_n_a_GCA_001491115.1
FAZA01000005.1	Campylobacter_coli_n_a_GCA_001491195.1
FAYX01000023.1	Campylobacter_coli_n_a_GCA_001491215.1
FBFU01000037.1	Campylobacter_coli_n_a_GCA_001491235.1
FBNR01000031.1	Campylobacter_coli_n_a_GCA_001491255.1
FBFI01000021.1	Campylobacter_coli_n_a_GCA_001491275.1
FBEZ01000014.1	Campylobacter_coli_n_a_GCA_001491295.1
FBKZ01000022.1	Campylobacter_coli_n_a_GCA_001491315.1
